Timer started ...
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(cpld_sdo.OUT), to(cpld_sdo.PAD)
MOD: delay(94 94), type(tPDi), from(cpld_sdo ), to(cpld_sdo.OUT)
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(adc_clk1.OUT), to(adc_clk1.PAD)
MOD: delay(94 94), type(tPDi), from(adc_clk1 ), to(adc_clk1.OUT)
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(adc_sel1.OUT), to(adc_sel1.PAD)
MOD: delay(94 94), type(tPDi), from(adc_sel1 ), to(adc_sel1.OUT)
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(adc_sel0.OUT), to(adc_sel0.PAD)
MOD: delay(94 94), type(tPDi), from(adc_sel0 ), to(adc_sel0.OUT)
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(adc_clk0.OUT), to(adc_clk0.PAD)
MOD: delay(94 94), type(tPDi), from(adc_clk0 ), to(adc_clk0.OUT)
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(spi_clk.OUT), to(spi_clk.PAD)
MOD: delay(94 94), type(tPDi), from(spi_clk ), to(spi_clk.OUT)
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(spi_mosi.OUT), to(spi_mosi.PAD)
MOD: delay(94 94), type(tPDi), from(spi_mosi ), to(spi_mosi.OUT)
MOD: delay(105 105), type(tORP+tBUF+tIOO(LVCMOS18)), from(freq_clka.OUT), to(freq_clka.PAD)
MOD: delay(94 94), type(tPDi), from(freq_clka ), to(freq_clka.OUT)
MOD: delay(52 52), type(tCOi), from(spi_module__spi_cntr_vPcnt_i0.C ), to(spi_module__spi_cntr_vPcnt_i0.Q )
CHK: delay(0 0), type(tWLA), from(spi_module__spi_cntr_vPcnt_i0.C ), to(spi_module__spi_cntr_vPcnt_i0.C )
CHK: delay(0 0), type(tWHA), from(spi_module__spi_cntr_vPcnt_i0.C ), to(spi_module__spi_cntr_vPcnt_i0.C )
